peak_label,ms_file_label,total_intensity,peak_area,peak_area_top3,peak_max,peak_min,peak_mean,peak_rt_of_max,peak_median,peak_n_datapoints,rt_aligned,rt_shift,scan_time,intensity,peak_mz_of_max,peak_area_fitted,peak_sigma,peak_tau,peak_asymmetry,peak_rt_fitted,fit_r_squared,fit_success
Thymine,HILIC5_Neg_190379M0034_2,,7452.0,8596.0,8595.0,1.0,406.0,40.284,1.0,46,false,0.0,"[40.284, 40.8028, 41.3216, 41.8402, 42.3591, 42.8779, 43.3966, 43.9154, 44.4342, 44.9529, 45.4717, 45.9906, 46.5092, 47.028, 47.5468, 48.0655, 48.5843, 49.1032, 49.6218, 50.1406, 50.6594, 51.1781, 51.6969, 52.2158, 52.7344, 53.2532, 53.772, 54.2907, 54.8095, 55.3284, 55.847, 56.3658, 56.8846, 57.4033, 57.9221, 58.441, 58.9596, 59.4784, 59.9973, 60.5159, 61.0347, 61.5536, 62.0722, 62.591, 63.1099, 63.6285]","[8595.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 5981.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4041.0, 1.0, 1.0, 1.0, 1.0, 1.0]",125.03568267822266,,,,,,,
Thymine,HILIC5_Neg_192099M0003_2,,22623.0,8533.0,8532.0,1.0,1041.0,40.2843,1.0,46,false,0.0,"[40.2843, 40.803, 41.3219, 41.8405, 42.3593, 42.8782, 43.3969, 43.9156, 44.4345, 44.9531, 45.4719, 45.9908, 46.5095, 47.0282, 47.5471, 48.0657, 48.5845, 49.1034, 49.6221, 50.1409, 50.6597, 51.1783, 51.6971, 52.216, 52.7347, 53.2535, 53.7723, 54.291, 54.8097, 55.3286, 55.8473, 56.3661, 56.8849, 57.4036, 57.9223, 58.4412, 58.9599, 59.4787, 59.9975, 60.5162, 61.0349, 61.5538, 62.0725, 62.5913, 63.1101, 63.6288]","[8532.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4786.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 5576.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4529.0, 3453.0, 1.0, 7113.0, 6723.0, 1.0, 1.0, 7128.0, 1.0, 1.0, 1.0]",125.03553009033203,,,,,,,
Thymine,HILIC5_Neg_192099M0093_2,,23.0,2.0,1.0,1.0,1.0,40.282,1.0,46,false,0.0,"[40.282, 40.8007, 41.3196, 41.8383, 42.3571, 42.8759, 43.3946, 43.9133, 44.4322, 44.9509, 45.4697, 45.9886, 46.5072, 47.026, 47.5449, 48.0635, 48.5823, 49.1012, 49.6198, 50.1386, 50.6575, 51.1761, 51.6949, 52.2138, 52.7324, 53.2511, 53.7701, 54.2887, 54.8075, 55.3264, 55.845, 56.3639, 56.8827, 57.4014, 57.9201, 58.439, 58.9576, 59.4763, 59.9953, 60.514, 61.0327, 61.5516, 62.0702, 62.5891, 63.1079, 63.6266]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,,,,,,,
Tryptophan,HILIC5_Neg_190379M0032_2,,269555.0,479226.0,287389.0,1.0,11295.0,124.841,1.0,46,false,0.0,"[113.428, 113.947, 114.466, 114.984, 115.503, 116.022, 116.541, 117.059, 117.578, 118.097, 118.616, 119.135, 119.653, 120.172, 120.691, 121.209, 121.728, 122.247, 122.766, 123.285, 123.803, 124.322, 124.841, 125.36, 125.878, 126.397, 126.916, 127.435, 127.953, 128.472, 128.991, 129.51, 130.029, 130.547, 131.066, 131.585, 132.104, 132.622, 133.141, 133.66, 134.179, 134.698, 135.216, 135.735, 136.254, 136.772]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 30325.0, 287389.0, 161512.0, 27842.0, 12448.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",203.08262634277344,,,,,,,
Tryptophan,HILIC5_Neg_196297M0027_1_20260412060811,,359174.0,620309.0,365789.0,1.0,15055.0,124.324,1.0,46,false,0.0,"[113.43, 113.949, 114.468, 114.986, 115.505, 116.024, 116.543, 117.061, 117.58, 118.099, 118.618, 119.137, 119.655, 120.174, 120.693, 121.212, 121.73, 122.249, 122.768, 123.287, 123.806, 124.324, 124.843, 125.362, 125.881, 126.399, 126.918, 127.437, 127.956, 128.474, 128.993, 129.512, 130.031, 130.549, 131.068, 131.587, 132.106, 132.625, 133.143, 133.662, 134.181, 134.7, 135.218, 135.737, 136.256, 136.775]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 14916.0, 107014.0, 365789.0, 147506.0, 44904.0, 7660.0, 4691.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",203.08265686035156,,,,,,,
Tryptophan,HILIC5_Neg_196297M0031_1,,43673.0,81073.0,47647.0,1.0,1829.0,125.362,1.0,46,false,0.0,"[113.43, 113.949, 114.468, 114.987, 115.505, 116.024, 116.543, 117.062, 117.581, 118.099, 118.618, 119.137, 119.656, 120.174, 120.693, 121.212, 121.731, 122.25, 122.768, 123.287, 123.806, 124.324, 124.843, 125.362, 125.881, 126.4, 126.918, 127.437, 127.956, 128.475, 128.993, 129.512, 130.031, 130.55, 131.068, 131.587, 132.106, 132.625, 133.144, 133.662, 134.181, 134.7, 135.219, 135.737, 136.256, 136.775]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 21853.0, 47647.0, 11573.0, 3037.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",203.08221435546875,,,,,,,
Tryptophan,HILIC5_Neg_196297M0031_2,,32498.0,57142.0,26731.0,1.0,1361.0,124.841,1.0,46,false,0.0,"[113.428, 113.947, 114.466, 114.985, 115.503, 116.022, 116.541, 117.06, 117.579, 118.097, 118.616, 119.135, 119.654, 120.172, 120.691, 121.21, 121.729, 122.247, 122.766, 123.285, 123.804, 124.322, 124.841, 125.36, 125.879, 126.397, 126.916, 127.435, 127.954, 128.473, 128.991, 129.51, 130.029, 130.548, 131.066, 131.585, 132.104, 132.623, 133.142, 133.66, 134.179, 134.698, 135.217, 135.735, 136.254, 136.773]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 5387.0, 26731.0, 25024.0, 5444.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",203.0823211669922,,,,,,,
Tyrosine,HILIC5_Neg_190379M0033_1,,361048.0,643753.0,384841.0,1.0,14805.0,128.993,1.0,47,false,0.0,"[117.061, 117.58, 118.099, 118.617, 119.136, 119.655, 120.174, 120.693, 121.211, 121.73, 122.249, 122.768, 123.286, 123.805, 124.324, 124.843, 125.361, 125.88, 126.399, 126.918, 127.437, 127.955, 128.474, 128.993, 129.512, 130.03, 130.549, 131.068, 131.587, 132.106, 132.624, 133.143, 133.662, 134.18, 134.699, 135.218, 135.737, 136.256, 136.774, 137.293, 137.812, 138.331, 138.849, 139.368, 139.887, 140.406, 140.925]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 7714.0, 107349.0, 384841.0, 151563.0, 32348.0, 7279.0, 4713.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",180.06654357910156,,,,,,,
Tyrosine,HILIC5_Neg_190397M0116_1,,424559.0,732711.0,389282.0,1.0,17430.0,129.512,1.0,47,false,0.0,"[117.062, 117.58, 118.099, 118.618, 119.137, 119.655, 120.174, 120.693, 121.212, 121.73, 122.249, 122.768, 123.287, 123.806, 124.324, 124.843, 125.362, 125.881, 126.399, 126.918, 127.437, 127.956, 128.474, 128.993, 129.512, 130.031, 130.549, 131.068, 131.587, 132.106, 132.625, 133.143, 133.662, 134.181, 134.7, 135.218, 135.737, 136.256, 136.775, 137.293, 137.812, 138.331, 138.85, 139.369, 139.887, 140.406, 140.925]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 7930.0, 1.0, 8720.0, 20981.0, 249268.0, 389282.0, 94161.0, 29729.0, 12440.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4597.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2072.0]",180.0666961669922,,,,,,,
Tyrosine,HILIC5_Neg_192099M0004_1,,253491.0,448497.0,226182.0,1.0,10400.0,128.993,1.0,47,false,0.0,"[117.062, 117.581, 118.099, 118.618, 119.137, 119.656, 120.174, 120.693, 121.212, 121.731, 122.25, 122.768, 123.287, 123.806, 124.324, 124.843, 125.362, 125.881, 126.4, 126.918, 127.437, 127.956, 128.475, 128.993, 129.512, 130.031, 130.55, 131.068, 131.587, 132.106, 132.625, 133.144, 133.662, 134.181, 134.7, 135.219, 135.737, 136.256, 136.775, 137.294, 137.813, 138.331, 138.85, 139.369, 139.888, 140.406, 140.925]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 5005.0, 12144.0, 142561.0, 226182.0, 79754.0, 15681.0, 7419.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",180.0665740966797,,,,,,,
